R vR err_vR vT err_vT V-B V Mass
0.2291 6.6045 2.9870 17.4079 3.0189 1.3865 10.7310 0.2453
0.2475 7.5799 1.7307 -14.6440 1.7366 1.1997 9.2082 0.4269
0.2219 2.9368 1.1357 -3.1768 1.1330 0.7521 6.6187 0.6372
0.1426 17.9003 1.0584 5.7001 1.0368 0.4378 4.0858 0.8155
0.1535 18.4788 2.3435 -8.5548 2.3468 1.3260 10.0445 0.3355
0.2441 4.3338 2.4496 -9.6905 2.4541 1.3392 10.1648 0.3196
0.2840 -8.3157 1.1710 -4.1185 1.1743 0.8318 7.0658 0.6013
0.2614 -6.0820 1.1504 -4.1538 1.1511 0.7866 6.8074 0.6220
0.2719 3.8973 1.3186 -8.6794 1.3168 0.9924 8.0497 0.5247
0.1264 17.9240 2.1292 -12.3051 2.1299 1.2940 9.8014 0.3651
0.2832 10.5612 1.1502 -11.1855 1.1508 0.7860 6.8045 0.6223
0.2691 14.7080 3.2070 2.0874 3.2090 1.4126 11.0338 0.2140
0.2396 -9.7749 1.0728 10.3619 1.0765 0.5528 5.4216 0.7357
0.1493 14.2692 1.0575 -10.3581 1.0371 0.4409 4.1647 0.8125
0.2870 7.9550 1.1895 -17.4882 1.1905 0.8669 7.2861 0.5841
0.2892 5.4845 2.1357 14.7510 2.1365 1.2951 9.8088 0.3643
0.2894 -9.2978 1.8026 -10.1900 1.8096 1.2253 9.3615 0.4120
0.1067 0.4493 1.2815 -18.1952 1.2762 0.9639 7.8777 0.5382
0.2962 -1.1097 1.5572 4.9464 1.5592 1.1325 8.8270 0.4612
0.2339 -1.8820 2.1323 6.0455 2.1331 1.2945 9.8049 0.3647
0.2677 3.4672 1.1589 -1.4844 1.1616 0.8064 6.9164 0.6132
0.2236 6.8661 1.1672 -3.9123 1.1711 0.8247 7.0213 0.6048
0.1662 -16.6481 3.0339 6.8919 3.0623 1.3902 10.7776 0.2400
0.2885 9.5683 1.0749 -6.7537 1.0770 0.5624 5.4959 0.7297
0.1846 12.0371 1.3377 -0.4494 1.3377 1.0084 8.1381 0.5178
0.2580 -0.8254 1.1429 -1.7864 1.1418 0.7690 6.7111 0.6298
0.1993 -16.7456 1.1589 1.2843 1.1617 0.8065 6.9173 0.6131
0.1006 -1.9424 1.6109 -6.4194 1.6147 1.1546 8.9499 0.4505
0.2467 0.8217 1.1876 -6.9088 1.1888 0.8633 7.2633 0.5859
0.2846 -0.5359 1.1373 -10.2492 1.1349 0.7559 6.6393 0.6355
0.2164 -1.7946 1.0583 -4.5990 1.0406 0.4635 4.5034 0.7974
0.2811 18.2552 1.0681 2.8154 1.0695 0.5265 5.2045 0.7525
0.2806 4.3309 1.0585 -4.7073 1.0411 0.4667 4.5449 0.7952
0.2607 -5.2336 1.0636 -3.7417 1.0618 0.5039 4.9899 0.7680
0.2960 3.2558 1.0735 4.1434 1.0767 0.5561 5.4476 0.7336
0.2275 -3.9938 1.0636 -2.2035 1.0616 0.5036 4.9865 0.7683
0.1936 -13.1968 2.2584 -2.5009 2.2607 1.3141 9.9479 0.3476
0.2583 -6.0167 1.2297 -1.2204 1.2264 0.9148 7.5836 0.5608
0.2721 -5.1331 1.1054 -11.9280 1.1070 0.6792 6.2212 0.6699
0.2516 -2.0911 2.9403 -21.5377 2.9759 1.3828 10.6847 0.2508
0.2421 14.9548 1.3393 2.1194 1.3394 1.0098 8.1455 0.5172
0.2587 10.9826 1.0761 -5.2633 1.0773 0.5686 5.5419 0.7260
0.1939 6.0206 1.1158 8.8554 1.1156 0.7032 6.3568 0.6587
0.2179 -10.4142 1.6043 2.2285 1.6079 1.1519 8.9349 0.4518
0.0541 -1.8972 1.5274 -16.9770 1.5283 1.1200 8.7585 0.4670
0.1642 -16.6361 2.3121 -0.7006 2.3151 1.3217 10.0089 0.3400
0.1968 -19.4576 1.1007 14.4579 1.1019 0.6655 6.1433 0.6763
0.2558 2.4866 1.0630 -2.4611 1.0592 0.4996 4.9414 0.7714
0.1879 8.4880 3.2133 -14.0995 3.2107 1.4157 11.0667 0.2111
0.1663 -9.9056 1.0601 2.8323 1.0364 0.4370 3.9384 0.8207
0.2176 0.2439 1.1203 -0.6594 1.1194 0.7140 6.4171 0.6537
0.2747 -0.0425 1.1160 5.0221 1.1158 0.7037 6.3595 0.6585
0.0672 -5.1994 1.3923 7.8407 1.3926 1.0480 8.3516 0.5010
0.0774 11.6265 1.2522 12.5601 1.2466 0.9379 7.7220 0.5503
0.2597 9.2226 3.2311 17.6832 3.2156 1.4249 11.1598 0.2031
0.1062 -10.9620 1.1549 3.1060 1.1567 0.7971 6.8653 0.6173
0.2911 -0.2039 1.0674 -7.8152 1.0685 0.5232 5.1749 0.7548
0.2187 -2.7248 1.6321 16.1665 1.6366 1.1632 8.9979 0.4462
0.2418 4.2000 1.1099 8.7966 1.1108 0.6896 6.2803 0.6650
0.2787 24.1070 1.4575 -1.1943 1.4563 1.0904 8.5899 0.4814
0.2023 -8.3222 1.2642 15.0513 1.2574 0.9502 7.7955 0.5446
0.1381 10.6565 1.2433 -2.9758 1.2386 0.9287 7.6670 0.5545
0.1981 -3.8770 2.8813 7.1165 2.9214 1.3783 10.6261 0.2579
0.1559 13.9975 1.2617 9.4010 1.2552 0.9477 7.7806 0.5458
0.1136 9.4695 2.6017 -3.6465 2.6231 1.3549 10.3308 0.2970
0.2957 1.3165 1.0585 7.8266 1.0410 0.4665 4.5419 0.7954
0.0721 5.5073 1.0584 3.2711 1.0407 0.4641 4.5112 0.7970
0.2587 -0.0479 1.0602 -0.4620 1.0477 0.4811 4.7242 0.7852
0.2575 4.2891 1.3984 -3.1182 1.3986 1.0521 8.3741 0.4992
0.2860 10.9100 1.4184 -0.9581 1.4182 1.0651 8.4472 0.4932
0.2450 2.4456 1.3209 2.3163 1.3193 0.9941 8.0602 0.5239
0.2660 2.6799 1.0789 -1.9394 1.0779 0.5828 5.6427 0.7177
0.2793 12.0833 1.1431 -3.2323 1.1421 0.7695 6.7139 0.6296
0.1074 3.7829 2.5505 -6.7368 2.5653 1.3500 10.2753 0.3046
0.1483 -3.6182 1.2770 0.9663 1.2712 0.9603 7.8565 0.5399
0.2838 17.0295 1.2741 -6.0460 1.2680 0.9581 7.8431 0.5409
0.1851 1.7697 1.2349 -1.4259 1.2311 0.9202 7.6157 0.5584
0.2159 -3.1643 2.7007 6.6873 2.7348 1.3638 10.4380 0.2824
0.2715 7.8806 1.1206 -11.5792 1.1196 0.7145 6.4200 0.6534
0.0714 -3.6333 1.0666 -9.4402 1.0671 0.5188 5.1357 0.7576
0.1901 0.2050 1.3424 -14.4592 1.3428 1.0125 8.1600 0.5161
0.2931 18.1900 2.7622 12.3627 2.8041 1.3690 10.5045 0.2735
0.1112 -14.9618 2.0228 -9.9954 2.0252 1.2732 9.6632 0.3805
0.1794 -9.6199 1.0742 8.5329 1.0768 0.5592 5.4713 0.7317
0.2611 -1.8256 2.7560 2.7766 2.7972 1.3685 10.4979 0.2744
0.1037 -9.5624 1.0617 1.8155 1.0537 0.4906 4.8381 0.7782
0.2957 6.7493 1.8019 -6.4631 1.8088 1.2250 9.3600 0.4121
0.1891 21.5803 1.1576 2.3051 1.1601 0.8035 6.9005 0.6145
0.2831 17.3256 1.7676 -2.3072 1.7740 1.2129 9.2868 0.4193
0.2594 5.3879 1.7521 7.3932 1.7583 1.2074 9.2539 0.4225
0.2851 7.2016 1.1705 8.6934 1.1739 0.8309 7.0602 0.6017
0.1213 6.6983 2.0289 -12.3780 2.0312 1.2744 9.6713 0.3796
0.2897 -1.1578 1.0575 5.7983 1.0371 0.4410 4.1654 0.8125
0.1142 9.1929 1.7971 7.7293 1.8040 1.2233 9.3497 0.4131
0.2497 -6.3689 2.2357 5.8003 2.2378 1.3107 9.9222 0.3508
0.1271 -2.3199 1.0886 7.8951 1.0860 0.6241 5.9028 0.6962
0.1664 1.5918 1.0588 17.2283 1.0417 0.4714 4.6036 0.7921
0.2943 9.7053 1.2676 10.3899 1.2610 0.9531 7.8134 0.5432
0.1190 7.9769 1.7177 -22.4093 1.7235 1.1950 9.1806 0.4295
0.2751 -4.6708 1.1123 -18.0423 1.1127 0.6952 6.3118 0.6624
0.2950 -6.0065 1.0619 -11.1086 1.0547 0.4922 4.8567 0.7770
0.2717 6.5172 1.0723 2.8217 1.0763 0.5503 5.4023 0.7373
0.1363 2.5618 1.0598 -9.6049 1.0365 0.4364 3.9651 0.8198
0.1326 1.4240 1.0994 0.6387 1.1003 0.6612 6.1186 0.6783
0.0862 -10.5411 1.0607 0.4552 1.0496 0.4841 4.7599 0.7830
0.1471 -3.5931 1.0790 9.3397 1.0779 0.5834 5.6462 0.7174
0.2015 -13.5516 1.0626 -1.8078 1.0574 0.4966 4.9076 0.7736
0.2859 9.7791 1.0751 7.9711 1.0770 0.5637 5.5057 0.7290
0.1184 -5.8186 1.1568 -0.0194 1.1590 0.8014 6.8892 0.6154
0.2731 3.7888 1.4192 -20.9459 1.4189 1.0656 8.4499 0.4930
0.2882 -0.9756 1.1538 8.6724 1.1554 0.7946 6.8516 0.6184
0.0742 20.3267 3.2345 12.9849 3.2165 1.4266 11.1778 0.2017
0.2538 3.9426 1.9505 16.0651 1.9545 1.2576 9.5664 0.3907
0.2840 5.7151 1.1996 -12.9834 1.1992 0.8847 7.3983 0.5753
0.2566 -19.7108 1.2926 -10.3911 1.2883 0.9724 7.9291 0.5343
0.2534 5.5045 1.9142 4.9452 1.9190 1.2500 9.5177 0.3958
0.2302 -1.1272 1.2063 11.5617 1.2053 0.8913 7.4399 0.5719
0.1560 -2.0191 1.3016 4.3281 1.2982 0.9793 7.9709 0.5309
0.2414 7.9314 2.1445 -6.9160 2.1454 1.2965 9.8188 0.3631
0.2699 1.5043 1.3193 -0.6533 1.3176 0.9929 8.0530 0.5244
0.1693 -12.7548 1.1153 7.5454 1.1152 0.7021 6.3509 0.6592
0.0692 -0.5924 1.4957 6.9236 1.4955 1.1072 8.6859 0.4733
0.1662 17.4463 1.9110 -4.7224 1.9159 1.2493 9.5134 0.3963
0.1479 10.7513 1.2765 1.7951 1.2707 0.9600 7.8546 0.5400
0.2390 11.3364 1.1410 -5.4344 1.1395 0.7646 6.6870 0.6317
0.2005 -6.4577 2.1626 10.2144 2.1637 1.2994 9.8393 0.3607
0.2664 -6.3802 2.4406 -6.9569 2.4451 1.3382 10.1547 0.3210
0.1096 -6.1798 2.7912 -2.3000 2.8368 1.3714 10.5359 0.2694
0.2650 13.5716 1.0654 -15.9343 1.0653 0.5129 5.0813 0.7616
0.2422 1.9109 1.4115 1.0724 1.4114 1.0606 8.4218 0.4953
0.2540 4.0625 1.7140 -21.9335 1.7197 1.1937 9.1727 0.4303
0.1398 16.2432 1.1238 -0.1651 1.1223 0.7222 6.4626 0.6499
0.2819 -0.0464 1.4173 6.1410 1.4170 1.0644 8.4430 0.4936
0.2815 -8.6435 1.4552 7.8812 1.4540 1.0889 8.5814 0.4821
0.2817 -14.1101 1.6741 3.9183 1.6792 1.1789 9.0875 0.4382
0.2739 4.5610 1.1719 17.9303 1.1752 0.8336 7.0769 0.6005
0.2499 -1.9695 1.1138 1.3303 1.1140 0.6986 6.3312 0.6608
0.2265 10.5102 1.3361 4.2598 1.3359 1.0070 8.1306 0.5184
0.2569 7.5944 1.9113 -3.8367 1.9162 1.2494 9.5139 0.3963
0.2200 -4.8529 1.2913 -8.9589 1.2869 0.9714 7.9230 0.5347
0.2535 2.4197 1.0579 1.3730 1.0395 0.4561 4.4070 0.8021
0.1013 1.7078 1.0947 27.2522 1.0941 0.6448 6.0242 0.6861
0.1818 -2.9646 2.8685 3.0218 2.9096 1.3773 10.6133 0.2595
0.2112 -7.8838 1.0575 -2.5911 1.0384 0.4495 4.3168 0.8062
0.0579 -14.9719 1.9174 -2.0225 1.9222 1.2506 9.5220 0.3954
0.1879 2.3074 1.4288 -7.7252 1.4283 1.0718 8.4850 0.4901
0.2722 -1.2289 1.0697 -0.8604 1.0721 0.5353 5.2797 0.7468
0.2658 -5.0390 1.0577 6.3549 1.0388 0.4521 4.3525 0.8046
0.2625 1.8235 1.0651 -2.2579 1.0648 0.5113 5.0668 0.7626
0.0853 3.1237 1.0598 18.7358 1.0459 0.4784 4.6916 0.7871
0.2310 -7.3705 1.0644 -15.7880 1.0636 0.5078 5.0324 0.7651
0.1252 -5.7951 1.0998 -7.6292 1.1008 0.6626 6.1264 0.6777
0.2294 2.4626 1.0774 -7.2065 1.0775 0.5746 5.5860 0.7224
0.2912 5.2704 1.2574 0.9200 1.2513 0.9433 7.7540 0.5478
0.2886 2.6054 1.0750 14.3855 1.0770 0.5629 5.4996 0.7294
0.1312 4.6146 1.2721 9.1418 1.2658 0.9566 7.8339 0.5416
0.2533 1.8732 1.1403 9.1370 1.1386 0.7629 6.6775 0.6325
0.2088 5.6398 2.2537 -6.3414 2.2559 1.3134 9.9426 0.3483
0.2762 11.1357 2.5966 -7.1921 2.6173 1.3544 10.3252 0.2978
0.2839 20.8934 1.8778 6.7202 1.8834 1.2424 9.4690 0.4010
0.0383 1.2635 1.1204 -6.3672 1.1194 0.7141 6.4176 0.6536
0.2383 3.2226 1.1221 -9.7674 1.1209 0.7183 6.4408 0.6517
0.2827 11.9741 1.2484 4.7067 1.2432 0.9340 7.6988 0.5521
0.2883 0.1119 1.0815 -1.6917 1.0785 0.5969 5.7342 0.7102
0.2095 -12.6079 1.0901 -7.3871 1.0880 0.6293 5.9333 0.6937
0.2781 5.3011 1.0597 -4.6426 1.0453 0.4775 4.6800 0.7878
0.2243 0.0872 1.0579 4.6238 1.0393 0.4551 4.3939 0.8027
0.2209 0.7348 1.0586 -2.1258 1.0368 0.4372 4.0634 0.8163
0.1565 -0.9330 1.0578 14.5295 1.0392 0.4545 4.3858 0.8031
0.2448 4.2490 1.0610 -1.1870 1.0510 0.4863 4.7866 0.7814
0.1562 -6.9902 1.0964 -2.1433 1.0964 0.6509 6.0589 0.6832
0.1925 4.2155 1.3750 1.7344 1.3758 1.0364 8.2886 0.5060
0.2390 10.1303 1.1361 6.6478 1.1334 0.7529 6.6231 0.6368
0.1387 -0.8600 1.0878 -8.0146 1.0850 0.6216 5.8880 0.6974
0.2614 -17.7188 1.0722 3.0375 1.0762 0.5501 5.4002 0.7374
0.2372 0.1201 2.4559 27.3192 2.4606 1.3400 10.1720 0.3187
0.2061 6.7140 1.5972 1.5343 1.6005 1.1490 8.9185 0.4533
0.2319 4.9350 1.1899 1.3519 1.1908 0.8675 7.2900 0.5838
0.2273 6.1443 1.0607 4.2828 1.0494 0.4838 4.7571 0.7832
0.1761 -10.8620 1.9973 -4.4929 2.0003 1.2677 9.6290 0.3842
0.1673 -9.6618 2.4862 7.0446 2.4929 1.3433 10.2057 0.3141
0.2273 18.2504 2.9552 -4.5597 2.9896 1.3840 10.6995 0.2490
0.2583 12.4723 1.3166 1.1258 1.3145 0.9908 8.0402 0.5254
0.2798 -0.3583 1.0582 1.7774 1.0402 0.4607 4.4671 0.7992
0.1663 11.4931 1.1232 2.1543 1.1218 0.7207 6.4544 0.6506
0.2838 -1.5961 1.1446 -3.8567 1.1439 0.7729 6.7324 0.6281
0.1839 6.7940 1.7340 -2.0195 1.7400 1.2009 9.2153 0.4262
0.2919 -1.9013 1.1123 4.8222 1.1127 0.6952 6.3116 0.6624
0.0574 -2.7453 2.1416 -21.4942 2.1425 1.2960 9.8154 0.3635
0.1384 -11.8529 1.1172 3.9289 1.1168 0.7067 6.3763 0.6571
0.1941 -1.2332 1.9699 17.4862 1.9735 1.2619 9.5924 0.3880
0.2599 -15.2964 2.3462 -9.6707 2.3496 1.3263 10.0476 0.3351
0.2830 1.8464 2.5254 14.2406 2.5371 1.3474 10.2482 0.3083
0.1814 -3.1177 1.0581 -3.9755 1.0399 0.4588 4.4433 0.8004
0.1018 -8.2255 1.0690 3.4311 1.0710 0.5317 5.2491 0.7492
0.1898 0.5562 2.5284 -9.9419 2.5404 1.3477 10.2514 0.3079
0.2802 9.1120 1.0931 3.9060 1.0920 0.6394 5.9925 0.6888
0.0934 4.3378 1.2427 -3.1378 1.2381 0.9282 7.6637 0.5547
0.0937 15.4833 1.8860 -17.2409 1.8914 1.2441 9.4799 0.3998
0.2786 -12.2034 1.0686 5.5977 1.0703 0.5292 5.2280 0.7508
0.2233 7.9041 3.2003 -4.2026 3.2072 1.4094 10.9991 0.2172
0.2461 -3.2797 1.1804 0.0762 1.1825 0.8496 7.1774 0.5926
0.2257 -5.0412 1.4319 -4.1518 1.4313 1.0739 8.4963 0.4892
0.2079 -0.9067 2.7155 -3.8517 2.7515 1.3650 10.4540 0.2803
0.0962 1.0153 1.2248 -8.3836 1.2220 0.9097 7.5535 0.5631
0.1072 1.1663 1.2919 3.3591 1.2875 0.9718 7.9257 0.5345
0.1130 12.8952 1.4672 -0.8264 1.4659 1.0957 8.6204 0.4788
0.1741 15.1870 1.0572 5.3220 1.0377 0.4455 4.2508 0.8090
0.2752 -19.6320 2.2804 5.6134 2.2830 1.3172 9.9730 0.3445
0.2464 9.1960 1.7075 -10.3702 1.7131 1.1913 9.1587 0.4316
0.2069 -13.6633 1.0683 -2.8307 1.0700 0.5280 5.2175 0.7516
0.1279 5.3208 1.3078 -15.4340 1.3049 0.9840 7.9994 0.5287
0.2757 -8.4920 1.0575 -1.8603 1.0385 0.4500 4.3240 0.8059
0.2417 -3.5253 2.3200 18.1022 2.3231 1.3228 10.0179 0.3389
0.2801 0.6464 1.9049 10.5510 1.9099 1.2480 9.5052 0.3972
0.2838 6.6552 1.8182 16.6066 1.8252 1.2297 9.3892 0.4092
0.2840 6.0964 2.3193 -10.1881 2.3224 1.3227 10.0171 0.3390
0.1863 -5.0056 1.1496 9.7429 1.1500 0.7846 6.7964 0.6229
0.0567 -9.3029 1.1130 5.2521 1.1133 0.6967 6.3205 0.6617
0.0945 -8.1189 2.2295 3.6317 2.2314 1.3098 9.9152 0.3517
0.0805 9.0470 1.8524 -4.0791 1.8586 1.2371 9.4350 0.4045
0.2921 -2.8152 1.1152 5.4254 1.1152 0.7020 6.3501 0.6593
0.2690 3.1444 1.1791 -5.3626 1.1814 0.8473 7.1628 0.5938
0.2430 9.8487 1.1030 -2.4211 1.1050 0.6736 6.1897 0.6725
0.2345 -1.6892 1.2906 14.5766 1.2861 0.9709 7.9199 0.5349
0.2293 -6.4064 1.4719 -11.4611 1.4709 1.0977 8.6313 0.4779
0.2618 -10.0662 1.3138 0.6833 1.3115 0.9887 8.0273 0.5265
0.2913 -5.0788 3.1534 0.2902 3.1725 1.4002 10.8962 0.2273
0.1176 -6.4439 1.4652 0.5796 1.4639 1.0949 8.6159 0.4792
0.1809 -10.8363 1.0573 -16.6714 1.0380 0.4473 4.2799 0.8078
0.1086 15.1605 1.0826 9.5145 1.0788 0.6033 5.7752 0.7068
0.2316 5.4436 2.6073 -11.3169 2.6294 1.3554 10.3367 0.2962
0.2429 -2.3832 1.1603 -1.1632 1.1633 0.8096 6.9341 0.6117
0.1289 0.4543 1.0619 -7.9367 1.0544 0.4918 4.8516 0.7773
0.2535 -1.0738 1.1761 7.4090 1.1788 0.8415 7.1266 0.5966
0.2225 5.9604 1.0697 9.1411 1.0721 0.5353 5.2794 0.7469
0.2820 5.8422 1.7919 0.6253 1.7987 1.2215 9.3386 0.4142
0.2921 19.0420 2.5723 5.6391 2.5899 1.3521 10.2989 0.3014
0.2194 -1.6305 1.6303 -13.7873 1.6348 1.1625 8.9942 0.4466
0.2507 7.5439 1.1397 8.3229 1.1378 0.7614 6.6694 0.6331
0.1931 -1.4084 1.1369 3.3133 1.1344 0.7548 6.6335 0.6360
0.2079 -13.9314 2.6207 3.0149 2.6446 1.3567 10.3514 0.2942
0.2708 -14.9783 2.0162 -8.0147 2.0188 1.2718 9.6543 0.3815
0.1999 -4.5504 1.0908 -20.6079 1.0889 0.6314 5.9462 0.6926
0.1448 13.7398 1.1811 4.0071 1.1832 0.8511 7.1864 0.5919
0.1511 12.0836 2.3767 -4.6855 2.3804 1.3303 10.0822 0.3306
0.2000 -0.4179 2.9163 6.7134 2.9537 1.3810 10.6608 0.2537
0.1274 -0.4047 2.4310 9.5048 2.4354 1.3370 10.1438 0.3224
0.0756 -0.5684 2.8569 11.0391 2.8988 1.3764 10.6018 0.2610
0.1785 -12.7534 2.2378 17.4180 2.2399 1.3110 9.9246 0.3505
0.1362 -10.3940 1.0580 -7.9473 1.0396 0.4570 4.4185 0.8016
0.2959 5.6247 1.2586 3.3910 1.2524 0.9445 7.7614 0.5472
0.1188 4.2544 1.3042 7.7854 1.3010 0.9813 7.9828 0.5300
0.2614 -0.1176 1.1757 6.4060 1.1785 0.8409 7.1225 0.5969
0.2131 -6.2066 1.0893 1.8005 1.0869 0.6265 5.9168 0.6950
0.2546 2.2587 1.1838 9.3128 1.1855 0.8561 7.2182 0.5895
0.2705 7.9761 1.8816 -0.6004 1.8872 1.2432 9.4741 0.4004
0.2234 13.0818 2.6282 3.0962 2.6530 1.3573 10.3594 0.2931
0.2425 13.9632 1.7622 -5.2529 1.7686 1.2110 9.2754 0.4205
0.2297 4.0347 1.0844 8.0866 1.0806 0.6105 5.8205 0.7030
0.2620 -0.6466 1.1120 9.2025 1.1125 0.6944 6.3075 0.6628
0.1089 7.2309 2.2476 1.5984 2.2498 1.3125 9.9358 0.3491
0.1215 9.9185 1.0575 16.7121 1.0384 0.4495 4.3156 0.8063
0.1404 12.6837 1.0750 5.1838 1.0770 0.5629 5.4993 0.7295
0.1656 0.0713 1.0635 3.8462 1.0611 0.5028 4.9778 0.7689
0.2943 -3.2541 1.0752 -19.1787 1.0771 0.5642 5.5094 0.7287
0.1712 -1.7907 1.0765 -6.0803 1.0773 0.5702 5.5541 0.7250
0.2612 -1.3204 1.3102 0.0549 1.3075 0.9859 8.0104 0.5278
0.1780 -4.8221 1.0635 10.4923 1.0611 0.5028 4.9777 0.7689
0.2401 -6.1738 1.0579 -6.5841 1.0395 0.4562 4.4080 0.8021
0.2076 0.5394 2.6682 -5.0612 2.6981 1.3609 10.4027 0.2872
0.1432 -10.4399 1.7833 -6.8837 1.7900 1.2185 9.3204 0.4161
0.1515 5.2881 1.3964 5.4684 1.3967 1.0508 8.3668 0.4998
0.1840 -0.2559 1.1652 13.4675 1.1693 0.8209 6.9977 0.6066
0.2336 -12.9461 2.4406 4.9608 2.4451 1.3382 10.1546 0.3210
0.2510 3.8704 1.4690 14.8433 1.4679 1.0965 8.6246 0.4785
0.2130 -9.1640 1.0997 9.9266 1.1006 0.6620 6.1232 0.6779
0.1973 4.7218 1.0576 -7.9244 1.0370 0.4404 4.1526 0.8130
0.2856 14.7571 1.4163 9.7067 1.4161 1.0638 8.4394 0.4939
0.1537 6.9176 1.1014 -10.8065 1.1029 0.6681 6.1579 0.6751
0.2758 4.2128 1.1206 -12.8367 1.1196 0.7145 6.4201 0.6534
0.1162 -3.8526 1.3236 -3.8570 1.3222 0.9962 8.0727 0.5229
0.2209 9.3540 1.0579 2.6191 1.0393 0.4553 4.3960 0.8026
0.1012 -5.9736 1.0809 13.3155 1.0784 0.5937 5.7133 0.7119
0.2022 9.4250 1.7757 4.5545 1.7823 1.2158 9.3042 0.4176
0.2342 5.4124 1.1358 7.0703 1.1330 0.7522 6.6192 0.6371
0.2831 -10.3123 1.0602 11.3242 1.0364 0.4375 3.9226 0.8212
0.2616 -7.8126 1.0624 5.6567 1.0567 0.4955 4.8945 0.7745
0.2477 14.5790 3.0851 20.6380 3.1095 1.3944 10.8284 0.2344
0.1874 8.8713 1.3283 -2.2901 1.3274 1.0003 8.0947 0.5212
0.2841 -7.6536 1.2086 -9.2424 1.2074 0.8935 7.4539 0.5708
0.1697 -17.3014 1.2107 6.7577 1.2093 0.8955 7.4668 0.5698
0.2586 -23.2274 2.3423 -7.2782 2.3456 1.3258 10.0431 0.3356
0.1890 8.4078 1.9564 10.3752 1.9603 1.2589 9.5743 0.3899
0.0409 7.8508 1.0762 3.8995 1.0773 0.5688 5.5439 0.7258
0.0695 -6.5771 1.0841 14.7961 1.0801 0.6095 5.8139 0.7036
0.2624 3.7254 1.1136 -2.5414 1.1138 0.6981 6.3280 0.6611
0.2943 -12.8777 1.1892 11.4040 1.1902 0.8663 7.2822 0.5844
0.2758 16.1371 1.2387 3.6468 1.2344 0.9240 7.6388 0.5566
0.1369 5.0394 1.2273 -8.2071 1.2242 0.9123 7.5689 0.5620
0.2920 -7.8433 1.2778 -13.8928 1.2721 0.9610 7.8604 0.5396
0.0443 -6.0249 1.0662 -10.6622 1.0665 0.5167 5.1161 0.7591
0.2387 -16.8754 1.4683 9.9444 1.4672 1.0962 8.6231 0.4786
0.2111 3.2187 2.6357 -11.3794 2.6614 1.3580 10.3675 0.2920
0.1231 1.2320 1.7154 3.0438 1.7211 1.1942 9.1757 0.4300
0.2925 20.4624 1.0902 -3.5279 1.0882 0.6297 5.9360 0.6934
0.2729 -11.5728 1.0714 -10.9801 1.0749 0.5452 5.3615 0.7405
0.2804 -6.4497 1.0730 -3.2799 1.0765 0.5537 5.4285 0.7352
0.2797 -5.2063 1.0821 4.8914 1.0786 0.6006 5.7576 0.7083
0.1549 1.8538 1.1209 14.0655 1.1199 0.7154 6.4250 0.6530
0.1862 6.7174 1.0994 -15.1212 1.1002 0.6610 6.1175 0.6784
0.2524 0.6477 1.0721 -5.8619 1.0761 0.5495 5.3956 0.7378
0.2378 11.0749 1.4041 1.5752 1.4042 1.0558 8.3948 0.4975
0.2847 3.1556 2.7770 -1.0821 2.8208 1.3702 10.5205 0.2714
0.2683 4.0775 1.4228 -3.6859 1.4224 1.0680 8.4631 0.4919
0.2561 20.2441 3.0649 6.9185 3.0909 1.3927 10.8084 0.2366
0.1424 -8.9079 1.2452 -0.8140 1.2403 0.9307 7.6789 0.5536
0.1998 7.7132 1.2592 -12.8769 1.2529 0.9451 7.7651 0.5470
0.2472 -9.7326 1.0691 -1.4356 1.0712 0.5322 5.2535 0.7488
0.2406 -0.3341 1.0740 5.3473 1.0768 0.5581 5.4631 0.7324
0.2668 -15.8789 1.7657 -8.6156 1.7721 1.2123 9.2827 0.4197
0.2750 1.5990 1.0608 -9.5206 1.0500 0.4848 4.7684 0.7825
0.0740 5.4420 2.7917 -14.8064 2.8373 1.3715 10.5364 0.2694
0.1467 11.7532 1.6424 8.4578 1.6470 1.1671 9.0198 0.4443
0.0867 8.1746 1.0828 -2.5036 1.0788 0.6046 5.7831 0.7061
0.2501 -2.2438 1.0643 12.7800 1.0635 0.5076 5.0298 0.7652
0.2697 1.0925 1.1925 -9.0046 1.1931 0.8725 7.3211 0.5814
0.2229 7.0820 1.9330 4.5276 1.9374 1.2538 9.5430 0.3931
0.1381 -13.6430 1.1648 -10.9666 1.1689 0.8201 6.9928 0.6070
0.2503 0.2406 1.3217 11.9461 1.3202 0.9947 8.0641 0.5235
0.0532 9.5916 1.2072 -20.4088 1.2061 0.8921 7.4455 0.5715
0.2949 9.7495 1.0941 -2.4858 1.0933 0.6428 6.0122 0.6871
0.0142 -9.1692 1.1582 -1.1758 1.1607 0.8047 6.9074 0.6139
0.2496 6.3552 1.1002 0.5323 1.1013 0.6637 6.1330 0.6771
0.2952 2.9535 1.1694 -4.4287 1.1730 0.8288 7.0470 0.6028
0.2165 4.4527 1.1639 -10.3715 1.1678 0.8180 6.9807 0.6079
0.2919 6.5485 1.0576 -3.8425 1.0370 0.4405 4.1541 0.8129
0.0397 9.3929 1.8696 8.4615 1.8754 1.2407 9.4580 0.4021
0.1368 -0.1605 1.0704 6.8694 1.0733 0.5394 5.3141 0.7442
0.1400 6.5045 1.6686 20.1901 1.6736 1.1769 9.0758 0.4392
0.2760 -10.0018 1.1732 3.4234 1.1763 0.8361 7.0926 0.5992
